fdc_id,amount,measure_unit,modifier,gram_weight
167668,1.0,,cup,137.0
167669,1.0,,serving,198.0
167670,1.0,,steak,151.0
167671,1.0,,cup,149.0
167671,1.0,,serving,257.0
167672,1.0,,serving,165.0
167673,1.0,,steak,107.0
167674,3.0,,pieces,73.0
167674,1.0,,order,623.0
167675,1.0,,order,535.0
167675,3.0,,pieces,53.0
167676,1.0,,order,604.0
167677,1.0,,cup,136.0
167677,1.0,,order,741.0
167678,1.0,,cup,153.0
167678,1.0,,order,693.0
167679,3.0,,pieces,63.0
167679,1.0,,order,648.0
167680,1.0,,serving,554.0
167681,1.0,,tsp,8.0
167682,1.0,,fl oz assumed specific gravity of honey,28.4
167683,1.0,,bar,78.0
167684,1.0,,tbsp,15.0
167684,1.0,,cup,245.0
167685,1.0,,"slice, thick",43.0
167685,1.0,,cup pieces,138.0
167685,1.0,,"slice, thin",14.0
167685,1.0,,cubic inch,14.0
167685,1.0,,"slice, medium",28.0
167686,1.0,,cup,137.0
167687,1.0,,cup,75.0
167688,1.0,,packet,3.0
167688,1.0,,cup,94.0
167689,1.0,,cup,203.0
167689,1.0,,piece,2.2
167689,1.0,,serving 1.63 oz singles bag,46.0
167690,1.0,,jar Beech-Nut Stage 2 (4 oz),113.0
167690,1.0,,tbsp,15.0
167690,1.0,,jar NFS,113.0
167691,1.0,,tbsp,13.0
167691,1.0,,cup,207.0
167692,1.0,,tbsp,16.0
167692,1.0,,cup,249.0
167693,1.0,,tbsp,16.0
167693,1.0,,cup,260.0
167694,1.0,,oz,28.0
167694,1.0,,"oz cooked, yield",21.0
167694,1.0,,"patty, cooked",25.0
167694,1.0,,"cup, cooked",130.0
167695,1.0,,cup,240.0
167695,1.0,,tbsp,15.0
167696,1.0,,frankfurter,57.0
167696,1.0,,"cup, sliced",151.0
167697,1.0,,cup,245.0
167697,1.0,,fl oz,30.6
167698,3.0,,links 1 NLEA serving,60.0
167698,2.0,,links 1 NLEA serving,45.0
167699,1.0,,tbsp,17.0
167699,1.0,,cup,265.0
167700,1.0,,cup,256.0
167700,1.0,,tbsp,16.0
167701,1.0,,serving 1.76 oz bar,50.0
167701,1.0,,bar fun size,19.0
167701,1.0,,serving 5 miniatures,41.0
167702,1.0,,tbsp,13.6
167702,1.0,,cup,218.0
167703,1.0,,cup,227.0
167703,4.0,,oz,113.0
167704,1.0,,tbsp,15.0
167704,1.0,,cup,240.0
167705,1.0,,tbsp,5.0
167705,1.0,,"cup, grated",100.0
167706,1.0,,tablespoon,17.0
167707,1.0,,tsp,2.0
167708,1.0,,cup,242.0
